Price
108994.49
109027.78
109027.79
109133.5
109172.2
109172.21
109310.21
109310.22
109320.02
109360.0
109369.02
109402.24
109402.25
109411.19
109411.2
109424.2
109424.21
109436.0
109513.06
109553.77
109580.0
109580.01
109635.85
109643.46
110037.92
110037.93
110337.6
110337.61
111347.99
111348.0
111580.77
111655.29
111683.09
111683.1
111766.72
111766.73
111857.51
111865.95
111865.96
111998.8
112100.0
112122.9
112163.95
112163.96
112339.99
112519.99
112520.0
112546.21
112546.22
112583.54
112650.99
112815.5
112876.97
112882.19
112882.2
112975.99
113029.45
113029.46
113055.0
113055.01
113090.13
113106.15
113106.16
113307.0
113307.01
113346.4
113346.41
113420.0
113420.01
113699.23
113699.24
113815.57
114265.55
114265.56
114311.96
114311.97
114359.99
114376.39
114649.89
114842.9
115070.0
115070.01
115125.12
115125.13
115224.01
115232.29
115268.01
115287.83
115287.84
115307.25
115307.26
115307.78
115349.71
115445.0
115445.45
115445.46
115480.05
115531.61
115531.62
115603.45
115632.38
115632.39
115634.99
115652.02
115669.41
115669.42
115685.63
115702.0
115794.91
115794.92
115806.62
115815.97
115815.98
115839.99
115840.0
115875.32
115875.33
115884.03
115894.05
115894.06
115905.88
115968.56
115986.69
115986.7
116258.12
116258.13
116372.04
116372.05
116394.72
116447.59
116447.6
116788.96
116800.12
116800.13
116909.97
116909.98
116977.58
117063.4
117063.41
117073.53
117086.01
117162.48
117450.21
117581.66
117581.67
117583.56
